USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
vlad             27122  11.2  0.6 34390424  53188   ??  S     9:28PM  32:41.45 /Applications/Turbo VPN.app/Contents/MacOS/Turbo VPN
_windowserver      167  10.1  1.4 36673304 118488   ??  Ss   Mon01PM 233:04.33 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
vlad             19207   7.2  1.5 34921212 124160   ??  S     1:11PM   5:37.46 /Applications/Telegram.app/Contents/MacOS/Telegram
root               159   3.4  0.2 33750540  14368   ??  Ss   Mon01PM  18:06.87 /usr/sbin/bluetoothd
vlad             31797   0.7  0.5 34346440  39760   ??  S     9:59AM   0:16.07 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
vlad               525   0.4  0.2 33740136  16752   ??  S    Mon01PM   1:16.65 /usr/libexec/sharingd
vlad             27041   0.3  0.4 34165364  32444   ??  Ss    9:24PM  13:33.99 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
vlad               463   0.2  0.4 34377188  30632   ??  S    Mon01PM   9:43.04 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
vlad             31165   0.2 23.0 38595348 1931360   ??  S     9:31AM  10:01.47 /Applications/PyCharm CE.app/Contents/MacOS/pycharm
vlad             25317   0.2  0.2 34273432  14060   ??  S     6:00PM   0:08.33 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
root                93   0.2  0.3 33778824  25508   ??  Ss   Mon01PM   2:35.44 /usr/libexec/logd
root                 1   0.1  0.2 34152868  14400   ??  Ss   Mon01PM   5:28.27 /sbin/launchd
root               106   0.1  0.1 33691252   5088   ??  Ss   Mon01PM   1:06.73 /System/Library/CoreServices/powerd.bundle/powerd
root               160   0.1  0.0 33660032   2180   ??  Ss   Mon01PM   0:45.54 /usr/sbin/notifyd
root               135   0.1  0.1 33693616   6540   ??  Ss   Mon01PM   0:44.01 /System/Library/CoreServices/launchservicesd
vlad             25570   0.1  0.0 33660288   2872   ??  S     6:36PM   0:04.29 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
root               132   0.1  0.1 33704736   6800   ??  Ss   Mon01PM   1:26.67 /usr/libexec/opendirectoryd
vlad             31315   0.0  0.1 33684900  10080   ??  S     9:35AM   0:00.37 /usr/libexec/promotedcontentd
root             31304   0.0  0.0 34181732   2372   ??  Ss    9:35AM   0:00.04 /usr/libexec/memoryanalyticsd -xlatS
vlad             31296   0.0  0.1 33660456   8548   ??  S     9:35AM   0:00.09 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
root             31255   0.0  0.1 33691648   5032   ??  Ss    9:33AM   0:00.12 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
vlad             31253   0.0  0.1 33696388  10628   ??  Ss    9:33AM   0:00.05 /System/Applications/TV.app/Contents/PlugIns/TVCacheExtension.appex/Contents/MacOS/TVCacheExtension -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             31252   0.0  0.1 33892848  12444   ??  Ss    9:33AM   0:00.06 /Applications/Safari.app/Contents/PlugIns/CacheDeleteExtension.appex/Contents/MacOS/CacheDeleteExtension -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             31251   0.0  0.1 33696392  10872   ??  Ss    9:33AM   0:00.08 /System/Applications/Music.app/Contents/PlugIns/MusicCacheExtension.appex/Contents/MacOS/MusicCacheExtension -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
root             31249   0.0  0.0 33660152   3140   ??  Ss    9:33AM   0:00.04 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
root             31248   0.0  0.0 33660152   3052   ??  Ss    9:33AM   0:00.04 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
